epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9531,2.80546,3.15349,1.03867,0.76652,0.57895,0.69107,0.2522,2.12247,2.25378,0.89702,0.000662222,0.000662222,0.000662222
2,181.554,2.53583,1.65683,0.95502,0.77374,0.73193,0.71918,0.23722,2.18518,2.18455,0.90808,0.00130258,0.00130258,0.00130258
3,300.98,2.45317,1.36337,0.9615,0.83195,0.80351,0.80369,0.30223,2.06214,1.75387,0.87944,0.00191653,0.00191653,0.00191653
4,384.637,2.36157,1.18702,0.94143,0.86366,0.82242,0.81949,0.33442,1.84822,0.96539,0.85627,0.0018812,0.0018812,0.0018812
5,480.217,2.28747,1.12094,0.92764,0.90474,0.80351,0.85679,0.33436,1.88331,1.08693,0.85499,0.0018416,0.0018416,0.0018416
6,576.104,2.26165,1.06974,0.92102,0.91298,0.83509,0.87292,0.36493,1.8126,0.87293,0.85195,0.001802,0.001802,0.001802
7,664.559,2.21534,1.05851,0.92264,0.89398,0.82105,0.85672,0.37216,1.79291,0.94809,0.84743,0.0017624,0.0017624,0.0017624
8,751.389,2.1994,1.01893,0.91091,0.91739,0.85725,0.8817,0.4328,1.69012,0.847,0.83217,0.0017228,0.0017228,0.0017228
9,842.401,2.11155,0.97719,0.9011,0.93561,0.81574,0.89172,0.4361,1.69523,0.76331,0.84893,0.0016832,0.0016832,0.0016832
10,940.09,2.0891,0.97332,0.88925,0.9293,0.8386,0.90029,0.41499,1.6787,0.74277,0.82694,0.0016436,0.0016436,0.0016436
11,1045.24,2.09471,0.95794,0.9008,0.94082,0.84211,0.91193,0.42717,1.67542,0.73857,0.8315,0.001604,0.001604,0.001604
12,1160.91,2.05697,0.94162,0.89995,0.93867,0.86316,0.92074,0.44094,1.69382,0.7508,0.82626,0.0015644,0.0015644,0.0015644
13,1256.92,2.03216,0.90404,0.90095,0.93177,0.89123,0.9301,0.42384,1.72623,0.75355,0.82912,0.0015248,0.0015248,0.0015248
14,1367.37,2.0239,0.91688,0.89628,0.95693,0.84561,0.90955,0.48112,1.55934,0.73093,0.81397,0.0014852,0.0014852,0.0014852
15,1476.93,1.95118,0.90258,0.88197,0.96837,0.8807,0.92916,0.44608,1.61144,0.70148,0.81798,0.0014456,0.0014456,0.0014456
16,1580.42,1.99615,0.8964,0.89439,0.93372,0.89825,0.931,0.47157,1.57994,0.71025,0.81594,0.001406,0.001406,0.001406
17,1674.99,1.9424,0.87608,0.88334,0.93742,0.91228,0.93365,0.42851,1.63841,0.71417,0.82363,0.0013664,0.0013664,0.0013664
18,1763.08,1.94119,0.86144,0.87963,0.95009,0.86828,0.90911,0.44265,1.57187,0.71543,0.81914,0.0013268,0.0013268,0.0013268
19,1853.83,1.96576,0.87413,0.88504,0.95847,0.89069,0.94284,0.48471,1.59369,0.69678,0.81913,0.0012872,0.0012872,0.0012872
20,1948.18,1.92433,0.84361,0.8746,0.9583,0.88689,0.93276,0.46409,1.61552,0.72394,0.82117,0.0012476,0.0012476,0.0012476
21,2048.82,1.88411,0.84126,0.88441,0.96716,0.89123,0.9211,0.48391,1.4834,0.73644,0.79738,0.001208,0.001208,0.001208
22,2142.88,1.87252,0.83323,0.88583,0.9256,0.90175,0.93087,0.47697,1.50348,0.76006,0.80237,0.0011684,0.0011684,0.0011684
23,2237.97,1.81935,0.80503,0.86646,0.96623,0.90356,0.9539,0.51585,1.48137,0.62955,0.80047,0.0011288,0.0011288,0.0011288
24,2325.39,1.88875,0.83106,0.88172,0.94904,0.91492,0.94007,0.48637,1.52514,0.675,0.80753,0.0010892,0.0010892,0.0010892
25,2422.05,1.82989,0.81538,0.87597,0.96815,0.89474,0.94182,0.50476,1.4686,0.62967,0.7953,0.0010496,0.0010496,0.0010496
26,2515.48,1.85053,0.80032,0.8649,0.97356,0.91228,0.93907,0.49243,1.49685,0.65323,0.80673,0.00101,0.00101,0.00101
27,2605.42,1.83053,0.79713,0.86989,0.95256,0.91592,0.95024,0.51659,1.45933,0.65158,0.79672,0.0009704,0.0009704,0.0009704
28,2696.09,1.81013,0.78926,0.86237,0.9523,0.91056,0.94389,0.5105,1.46341,0.63234,0.7975,0.0009308,0.0009308,0.0009308
29,2790.74,1.76971,0.77077,0.85894,0.95566,0.92982,0.95011,0.53437,1.43152,0.64555,0.79854,0.0008912,0.0008912,0.0008912
30,2885.79,1.79149,0.7702,0.85865,0.94308,0.93011,0.94915,0.52962,1.40971,0.60228,0.79933,0.0008516,0.0008516,0.0008516
31,2998.73,1.73791,0.76135,0.85022,0.93284,0.92606,0.94799,0.52829,1.38825,0.62412,0.78986,0.000812,0.000812,0.000812
32,3093.56,1.75363,0.77134,0.86825,0.96485,0.91579,0.95259,0.51763,1.43151,0.64637,0.79181,0.0007724,0.0007724,0.0007724
33,3187.52,1.75796,0.76007,0.85781,0.98109,0.91028,0.95606,0.53227,1.42267,0.59913,0.80045,0.0007328,0.0007328,0.0007328
34,3282.74,1.70507,0.73437,0.85866,0.95529,0.91579,0.95534,0.53611,1.4082,0.59312,0.79481,0.0006932,0.0006932,0.0006932
35,3377.86,1.70761,0.74557,0.85545,0.96826,0.92281,0.945,0.53904,1.38337,0.63806,0.78628,0.0006536,0.0006536,0.0006536
36,3472.6,1.71281,0.73792,0.85412,0.95888,0.92632,0.96307,0.53958,1.40857,0.61996,0.78986,0.000614,0.000614,0.000614
37,3574.81,1.71047,0.73763,0.84632,0.96126,0.94386,0.96764,0.55901,1.36708,0.58713,0.79653,0.0005744,0.0005744,0.0005744
38,3675.24,1.71019,0.73364,0.85663,0.95366,0.93875,0.9578,0.54412,1.37472,0.59007,0.78833,0.0005348,0.0005348,0.0005348
39,3777.01,1.69704,0.74871,0.85112,0.95694,0.93684,0.95704,0.54936,1.39255,0.58358,0.79329,0.0004952,0.0004952,0.0004952
40,3879.46,1.64033,0.70901,0.85028,0.9702,0.94737,0.96826,0.54599,1.36639,0.57324,0.78875,0.0004556,0.0004556,0.0004556
41,3977.64,1.51134,0.67139,0.8664,0.96382,0.95088,0.96612,0.5478,1.36637,0.58263,0.78686,0.000416,0.000416,0.000416
42,4080.43,1.51498,0.65595,0.86019,0.96437,0.92982,0.96738,0.54393,1.38167,0.57441,0.79229,0.0003764,0.0003764,0.0003764
43,4178.7,1.48887,0.6461,0.8493,0.95576,0.93684,0.9748,0.56835,1.34474,0.56996,0.78783,0.0003368,0.0003368,0.0003368
44,4282.53,1.48777,0.64537,0.84366,0.95924,0.94386,0.95859,0.56773,1.31268,0.56333,0.78571,0.0002972,0.0002972,0.0002972
45,4378.11,1.46158,0.6416,0.85186,0.96375,0.94737,0.96073,0.56628,1.32863,0.56237,0.78918,0.0002576,0.0002576,0.0002576
46,4468.8,1.4589,0.63821,0.85873,0.96612,0.94737,0.96393,0.56661,1.3477,0.55712,0.7924,0.000218,0.000218,0.000218
47,4559.78,1.4751,0.62187,0.85714,0.96795,0.95376,0.9641,0.56665,1.32346,0.55433,0.7872,0.0001784,0.0001784,0.0001784
48,4663.48,1.42805,0.61671,0.84889,0.97018,0.9614,0.97096,0.5787,1.31177,0.54429,0.78595,0.0001388,0.0001388,0.0001388
49,4761.08,1.43433,0.61878,0.84841,0.97173,0.9649,0.97142,0.57921,1.2943,0.53793,0.78461,9.92e-05,9.92e-05,9.92e-05
50,4856.65,1.39616,0.59993,0.84032,0.96531,0.95439,0.97102,0.57636,1.30298,0.53524,0.7857,5.96e-05,5.96e-05,5.96e-05
